setter_username,name,description,matching,angle,benchmark_difficulty,frames
tensionclimbing,Solid Scorp,No matching,1,40,23,p550r6p599r6p617r6p636r7p650r8p676r6p704r5p733r8
tensionclimbing,Prime,No matching,1,35,16,p546r8p547r8p549r8p559r5p681r5p683r6p690r8p692r6p701r8p711r7p715r6p725r6p737r8
tensionclimbing,Prime,No matching,1,40,15,p546r8p547r8p549r8p559r5p681r5p683r6p690r8p692r6p701r8p711r7p715r6p725r6p737r8
tensionclimbing,Prime,No matching,1,45,16,p546r8p547r8p549r8p559r5p681r5p683r6p690r8p692r6p701r8p711r7p715r6p725r6p737r8
tensionclimbing,Masquerade,No matching,1,35,16,p561r6p685r8p699r6p704r5p711r7p712r8p722r6p724r6p725r6p727r8p733r8p739r6
tensionclimbing,Masquerade,No matching,1,40,16,p561r6p685r8p699r6p704r5p711r7p712r8p722r6p724r6p725r6p727r8p733r8p739r6
tensionclimbing,Masquerade,No matching,1,45,17,p561r6p685r8p699r6p704r5p711r7p712r8p722r6p724r6p725r6p727r8p733r8p739r6
tensionclimbing,Heaven’s Dead,,0,45,28,p319r8p348r8p405r6p613r5p634r6p637r8p679r7
tensionclimbing,Dear Slim,No matching,1,40,23,p460r6p482r6p497r8p516r6p540r5p589r7p646r8p768r6
tensionclimbing,Dear Slim,No matching,1,55,28,p460r6p482r6p497r8p516r6p540r5p589r7p646r8p768r6
tensionclimbing,Incarnate,No matching,1,35,20,p320r5p430r6p438r5p439r6p449r6p452r6p454r8p476r8p478r8p485r8p492r7
tensionclimbing,Incarnate,No matching,1,40,22,p320r5p430r6p438r5p439r6p449r6p452r6p454r8p476r8p478r8p485r8p492r7
tensionclimbing,Miami Vice,No matching,1,55,27,p322r6p571r6p631r6p652r5p673r8p739r6p756r6p780r8p786r7
tensionclimbing,Extendo Clip,No matching,1,45,30,p497r8p529r5p609r6p636r7p694r6p698r6p766r6
tensionclimbing,Diamond Eyes,Set at 45°. No matching,1,45,28,p311r6p342r6p370r6p428r8p429r6p436r8p580r8p636r7p696r5p729r8p742r5
tensionclimbing,Diamond Eyes,Set at 45°. No matching,1,55,30,p311r6p342r6p370r6p428r8p429r6p436r8p580r8p636r7p696r5p729r8p742r5
tensionclimbing,Spellwork,No matching,1,35,23,p304r8p305r5p306r6p324r6p339r6p342r6p435r8p436r8p467r8p562r8p568r8p586r6p633r6p711r7
tensionclimbing,Spellwork,No matching,1,45,25,p304r8p305r5p306r6p324r6p339r6p342r6p435r8p436r8p467r8p562r8p568r8p586r6p633r6p711r7
tensionclimbing,Constraint,No matching,1,35,18,p310r8p336r8p348r8p447r8p552r6p567r8p570r6p571r6p583r5p589r7p631r6p695r6p707r8
tensionclimbing,Constraint,No matching,1,40,20,p310r8p336r8p348r8p447r8p552r6p567r8p570r6p571r6p583r5p589r7p631r6p695r6p707r8
tensionclimbing,Vernal,No matching,1,35,22,p311r8p335r6p342r6p355r8p374r7p433r6p447r5p460r6p461r5p473r6p478r6p484r8p488r6p505r8
tensionclimbing,Vernal,No matching,1,40,22,p311r8p335r6p342r6p355r8p374r7p433r6p447r5p460r6p461r5p473r6p478r6p484r8p488r6p505r8
tensionclimbing,In The Sky,,0,35,21,p556r6p582r5p597r6p609r6p611r8p618r6p631r6p645r6p650r8p662r6p711r7p743r8
tensionclimbing,Barracuda,,0,40,23,p334r6p342r6p383r8p401r7p464r6p467r8p470r5p485r8p499r6p530r6p533r5p541r6
tensionclimbing,Barracuda,,0,45,25,p334r6p342r6p383r8p401r7p464r6p467r8p470r5p485r8p499r6p530r6p533r5p541r6
tensionclimbing,The Silver Mountain,No matching,1,30,24,p557r7p563r6p567r8p696r5p716r6p730r6p752r5
tensionclimbing,The Silver Mountain,No matching,1,35,26,p557r7p563r6p567r8p696r5p716r6p730r6p752r5
tensionclimbing,The Silver Mountain,No matching,1,40,27,p557r7p563r6p567r8p696r5p716r6p730r6p752r5
tensionclimbing,The Silver Mountain,No matching,1,45,28,p557r7p563r6p567r8p696r5p716r6p730r6p752r5
tensionclimbing,Rebuilt,No matching,1,35,24,p550r6p591r6p594r6p704r5p716r6p723r6p741r8p749r8p758r7
tensionclimbing,Rebuilt,No matching,1,45,28,p550r6p591r6p594r6p704r5p716r6p723r6p741r8p749r8p758r7
tensionclimbing,No Dice,,0,40,27,p338r6p351r5p456r6p464r6p522r8p526r6p611r8p665r8p786r7
tensionclimbing,Engine No. 9,No matching.,1,40,27,p422r5p548r8p555r6p572r6p591r6p611r8p641r6p653r8p665r8p684r8p732r7p768r8
tensionclimbing,Engine No. 9,No matching.,1,45,28,p422r5p548r8p555r6p572r6p591r6p611r8p641r6p653r8p665r8p684r8p732r7p768r8
tensionclimbing,Make It Forever,No matching,1,45,28,p551r5p554r6p590r8p618r6p636r7p689r8
tensionclimbing,Propagation,No matching,1,35,17,p343r5p348r8p466r8p484r8p485r8p547r8p681r5p690r8p697r6p711r7p724r6p725r6p754r6
tensionclimbing,Propagation,No matching,1,40,18,p343r5p348r8p466r8p484r8p485r8p547r8p681r5p690r8p697r6p711r7p724r6p725r6p754r6
tensionclimbing,Propagation,No matching,1,45,19,p343r5p348r8p466r8p484r8p485r8p547r8p681r5p690r8p697r6p711r7p724r6p725r6p754r6
tensionclimbing,Deepcouch,No matching,1,40,21,p329r8p336r8p374r7p380r5p551r6p573r6p578r6p579r8p600r6p607r8p615r6p626r8p692r6
tensionclimbing,Migraine,No matching,1,40,19,p332r6p452r6p546r8p560r5p567r8p572r6p593r6p681r5p697r6p702r8p707r6p711r7
tensionclimbing,Migraine,No matching,1,45,20,p332r6p452r6p546r8p560r5p567r8p572r6p593r6p681r5p697r6p702r8p707r6p711r7
tensionclimbing,Cocoa Butter,No matchin,1,40,18,p309r7p313r6p466r8p469r5p485r8p550r6p713r8p715r6
tensionclimbing,"14,000 Minutes",No matching,1,40,15,p428r8p466r8p476r8p484r8p490r7p559r5p579r8p681r5p692r6p697r6p721r6p739r6
tensionclimbing,Wingtips,no matching,1,40,17,p366r8p546r8p561r5p565r7p570r6p573r6p593r6p683r5p687r7
tensionclimbing,Particle Craze,No matching,1,35,13,p316r6p323r8p329r8p333r6p341r6p353r8p428r8p438r8p440r8p451r6p462r5p484r8p493r8p549r8p589r7p591r8p689r8p692r6p712r8p715r6p721r5
tensionclimbing,Guided By Angels,No matching,1,35,18,p305r5p323r6p439r6p445r8p449r6p450r6p466r8p485r8p684r8p702r8p711r7p717r6
tensionclimbing,Guided By Angels,No matching,1,40,21,p305r5p323r6p439r6p445r8p449r6p450r6p466r8p485r8p684r8p702r8p711r7p717r6
tensionclimbing,Guided By Angels,No matching,1,45,22,p305r5p323r6p439r6p445r8p449r6p450r6p466r8p485r8p684r8p702r8p711r7p717r6
tensionclimbing,Armed For Peace,No matching,1,30,18,p320r5p334r6p374r7p438r5p448r6p454r8p458r6p466r8p501r6p565r6p606r8p607r8p712r8p717r6p737r6p742r6
tensionclimbing,Rosewood,No matching,1,35,23,p351r8p483r8p492r7p556r6p568r8p688r8p692r6p700r6p735r5p738r6
tensionclimbing,Parchment,No matching,1,35,20,p304r8p305r5p345r6p348r8p449r6p450r6p459r6p557r7p563r8p592r6p599r6p605r8p690r8p691r6p734r8
tensionclimbing,Across The Water,No matching,1,35,19,p334r6p366r8p379r8p420r8p459r6p562r8p573r6p602r6p606r8p617r6p632r6p652r5p654r6p672r8p685r8p699r8p711r7
tensionclimbing,Esperate,No matching,1,35,17,p575r6p582r5p589r7p602r6p611r8p618r6p632r6p650r8
tensionclimbing,Fisticuffs,No matching,1,40,23,p311r6p329r5p331r6p336r8p343r5p360r6p445r8p458r6p475r7p482r6p488r6p611r8p685r8p690r8p741r8
tensionclimbing,Fisticuffs,No matching,1,45,24,p311r6p329r5p331r6p336r8p343r5p360r6p445r8p458r6p475r7p482r6p488r6p611r8p685r8p690r8p741r8
tensionclimbing,Skypager,,0,40,12,p304r8p320r8p329r8p344r5p358r8p362r6p366r8p367r8p368r8p376r8p561r5p567r8p570r6p575r6p579r8p593r6p602r6p603r7
tensionclimbing,Mudshovel,,0,40,15,p327r8p344r5p474r6p478r8p486r8p490r6p498r8p549r8p552r6p561r5p570r6p580r8p692r6p697r8p705r8p724r6p739r6p758r7
